Street Name,Class B,Class A,Class C,Class D,Class F,Class N,Grand Total
Jackson Road,1,,,,,,1
Windsor Road,1,,,,,,1
Coddington Circle,,1,,,,,1
Patton Place,1,,,,,,1
Lexington Drive,1,,,,,,1
Kathryn Street,1,,,,,,1
Lierman Avenue,20,10,3,,,,33
Stricker Lane,1,,,,,,1
Bohn Circle,,1,,,,,1
Provine Circle,1,,,,,,1
Sunnycrest Court ,1,,,,,,1
Grossbach Drive,1,,,,,,1
Wilson Road,,1,,,,,1
Saint Andrews Road,1,,,,,,1

Grand Total,2742,361,219,6,3,2,3333
